epoch,accuracy,loss,val_accuracy,val_loss
0,0.4448818862438202,1.3245855569839478,0.7550562024116516,0.7825440764427185
1,0.766310453414917,0.703299880027771,0.8528090119361877,0.4068298041820526
2,0.8613610863685608,0.4385075569152832,0.8887640237808228,0.29313910007476807
3,0.8849831223487854,0.35205137729644775,0.8966292142868042,0.2534621059894562
4,0.8979189991950989,0.3014906048774719,0.9134831428527832,0.22318753600120544
5,0.9145106673240662,0.2575415372848511,0.8932584524154663,0.24779237806797028
6,0.9173228144645691,0.24818100035190582,0.9314606785774231,0.16561229526996613
7,0.9212598204612732,0.23460349440574646,0.9528089761734009,0.13359656929969788
8,0.9370078444480896,0.20584645867347717,0.9561797976493835,0.12609392404556274
9,0.9386951923370361,0.20518332719802856,0.9752808809280396,0.0916057601571083
10,0.9513498544692993,0.15888284146785736,0.966292142868042,0.10265695303678513
11,0.953880786895752,0.14384998381137848,0.968539297580719,0.08781519532203674
12,0.9583802223205566,0.1350225806236267,0.9595505595207214,0.10752160847187042
13,0.9586614370346069,0.13639506697654724,0.9752808809280396,0.07280217111110687
14,0.9505062103271484,0.15394118428230286,0.9786517024040222,0.06388425827026367
15,0.965410590171814,0.11466094106435776,0.983146071434021,0.05431389436125755
16,0.9575365781784058,0.13006232678890228,0.968539297580719,0.09919250011444092
17,0.9679415225982666,0.10478918254375458,0.9786517024040222,0.05845646932721138
18,0.9693475961685181,0.10455340147018433,0.9775280952453613,0.0679539367556572
19,0.9718785285949707,0.08858660608530045,0.9752808809280396,0.07449191063642502
20,0.9485377073287964,0.16630850732326508,0.9808988571166992,0.058551885187625885
21,0.9724409580230713,0.09018167108297348,0.9876404404640198,0.04541691392660141
22,0.9783464670181274,0.06985460221767426,0.9820224642753601,0.05673564597964287
23,0.9696288108825684,0.10457468032836914,0.9730337262153625,0.07321885228157043
24,0.9704724550247192,0.09215737879276276,0.9651685357093811,0.09873951971530914
25,0.9718785285949707,0.09038632363080978,0.9898876547813416,0.04422605782747269
26,0.9780652523040771,0.07064215838909149,0.9797753095626831,0.06335403025150299
27,0.9668166637420654,0.11155547201633453,0.9764044880867004,0.0750536173582077
28,0.9595050811767578,0.12713220715522766,0.9775280952453613,0.04935057833790779
29,0.9724409580230713,0.07778996974229813,0.9820224642753601,0.04991184175014496
30,0.9780652523040771,0.06835837662220001,0.9764044880867004,0.0633157342672348
31,0.9727221727371216,0.07607302069664001,0.9887640476226807,0.04175602272152901
32,0.981721043586731,0.055470217019319534,0.9865168333053589,0.04560670629143715
33,0.9780652523040771,0.06894934922456741,0.9741572737693787,0.06519395112991333
34,0.9811586141586304,0.06813869625329971,0.9820224642753601,0.05914879962801933
35,0.9839707612991333,0.050467006862163544,0.9876404404640198,0.03726264461874962
36,0.9853768348693848,0.04717453569173813,0.9887640476226807,0.03415929898619652
37,0.9744094610214233,0.08552689105272293,0.9797753095626831,0.059373702853918076
38,0.9805961847305298,0.05811527743935585,0.9764044880867004,0.05543256923556328
39,0.9814398288726807,0.053301915526390076,0.9898876547813416,0.036640215665102005
40,0.9732846021652222,0.08390063047409058,0.9797753095626831,0.05361250787973404
41,0.9803149700164795,0.06084979698061943,0.9853932857513428,0.04139973968267441
42,0.978908896446228,0.06398820132017136,0.9887640476226807,0.02914937026798725
43,0.9881889820098877,0.03504417836666107,0.9887640476226807,0.032732151448726654
44,0.9820022583007812,0.04933171719312668,0.9853932857513428,0.04603765532374382
45,0.9760967493057251,0.06464838981628418,0.9876404404640198,0.04056261107325554
46,0.9828459024429321,0.058149442076683044,0.9764044880867004,0.07076635956764221
47,0.9783464670181274,0.0732702985405922,0.9426966309547424,0.20273654162883759
48,0.972159743309021,0.0954001322388649,0.9887640476226807,0.038980767130851746
49,0.9856580495834351,0.04939579963684082,0.9898876547813416,0.025694437325000763
50,0.988470196723938,0.035466209053993225,0.9910112619400024,0.030222676694393158
51,0.9895950555801392,0.03492901101708412,0.9876404404640198,0.037320952862501144
52,0.9862204790115356,0.04362527281045914,0.9898876547813416,0.03155536204576492
53,0.983689546585083,0.0488872304558754,0.9932584166526794,0.027984008193016052
54,0.981721043586731,0.07268789410591125,0.9853932857513428,0.04558029770851135
